request_id,tenant,adapter,whale,arrival_time_ms,start_time_ms,finish_time_ms,wait_time_ms,ttft_ms,service_time_ms,prompt_tokens,output_tokens,total_tokens,switch_penalty_ms
68,B,adapter-code,False,159,149356,150473,149197,150297,1117,263,30,293,900
129,C,adapter-doc,False,326,150473,151642,150147,151219,1169,195,119,314,900
107,D,adapter-research,False,271,151642,152869,151371,152484,1227,293,138,431,900
45,A,adapter-chat,False,112,152869,154058,152757,153854,1189,254,114,368,900
76,B,adapter-code,False,180,154058,155116,153878,154916,1058,115,33,148,900
131,C,adapter-doc,True,331,155116,159470,154785,157998,4354,2737,1090,3827,900
110,D,adapter-research,False,279,159470,160507,159191,160201,1037,48,41,89,900
50,A,adapter-chat,False,121,160507,161666,160386,161457,1159,194,108,302,900
78,B,adapter-code,False,188,161666,162829,161478,162567,1163,236,93,329,900
132,C,adapter-doc,False,335,162829,163944,162494,163538,1115,129,90,219,900
118,D,adapter-research,False,298,163944,165062,163646,164726,1118,214,53,267,900
54,A,adapter-chat,False,128,165062,166124,164934,165941,1062,41,72,113,900
79,B,adapter-code,True,192,166124,170198,165932,168769,4074,2236,1197,3433,900
135,C,adapter-doc,False,341,170198,171402,169857,170950,1204,245,134,379,900
122,D,adapter-research,False,311,171402,172555,171091,172193,1153,266,68,334,900
58,A,adapter-chat,False,135,172555,173702,172420,173472,1147,147,117,264,900
85,B,adapter-code,False,204,173702,174897,173498,174573,1195,203,144,347,900
136,C,adapter-doc,True,342,174897,179965,174555,178306,5068,3455,1285,4740,900
130,D,adapter-research,False,330,179965,181099,179635,180650,1134,60,143,203,900
65,A,adapter-chat,False,152,181099,182276,180947,182069,1177,314,72,386,900
88,B,adapter-code,False,216,182276,183402,182060,183071,1126,50,139,189,900
139,C,adapter-doc,False,350,183402,184455,183052,184085,1053,102,33,135,900
134,D,adapter-research,False,340,184455,185587,184115,185193,1132,210,71,281,900
69,A,adapter-chat,False,162,185587,186753,185425,186503,1166,209,109,318,900
97,B,adapter-code,False,238,186753,187866,186515,187546,1113,98,102,200,900
140,C,adapter-doc,False,351,187866,188935,187515,188542,1069,87,58,145,900
137,D,adapter-research,False,345,188935,190059,188590,189637,1124,136,96,232,900
70,A,adapter-chat,False,165,190059,191205,189894,190965,1146,193,94,287,900
100,B,adapter-code,True,247,191205,195074,190958,194214,3869,2794,504,3298,900
142,C,adapter-doc,False,358,195074,196227,194716,195824,1153,281,61,342,900
138,D,adapter-research,False,348,196227,197285,195879,196897,1058,66,56,122,900
77,A,adapter-chat,False,184,197285,198377,197101,198123,1092,77,88,165,900
109,B,adapter-code,True,276,198377,203105,198101,201859,4728,3464,900,4364,900
144,C,adapter-doc,False,363,203105,204309,202742,203822,1204,214,149,363,900
143,D,adapter-research,False,360,204309,205527,203949,205065,1218,300,125,425,900
86,A,adapter-chat,False,208,205527,206604,205319,206372,1077,149,38,187,900
111,B,adapter-code,False,282,206604,207761,206322,207408,1157,228,90,318,900
145,C,adapter-doc,False,365,207761,208989,207396,208508,1228,290,140,430,900
150,D,adapter-research,False,382,208989,210134,208607,209635,1145,91,141,232,900
87,A,adapter-chat,False,212,210134,211297,209922,210973,1163,145,136,281,900
112,B,adapter-code,False,285,211297,212449,211012,212116,1152,272,64,336,900
151,C,adapter-doc,True,384,212449,216299,212065,215018,3850,2390,819,3209,900
153,D,adapter-research,False,386,216299,217527,215913,217024,1228,289,141,430,900
92,A,adapter-chat,True,230,217527,221997,217297,221123,4470,3555,538,4093,900
114,B,adapter-code,False,290,221997,223202,221707,222826,1205,308,106,414,900
158,C,adapter-doc,True,396,223202,228154,222806,227107,4952,4188,546,4734,900
161,D,adapter-research,False,405,228154,229373,227749,228854,1219,273,138,411,900
93,A,adapter-chat,False,233,229373,230531,229140,230244,1158,272,71,343,900
115,B,adapter-code,False,293,230531,231652,230238,231322,1121,224,52,276,900
159,C,adapter-doc,False,399,231652,232879,231253,232360,1227,278,145,423,900
170,D,adapter-research,False,430,232879,234019,232449,233486,1140,112,126,238,900
95,A,adapter-chat,False,235,234019,235143,233784,234866,1124,219,58,277,900
117,B,adapter-code,False,297,235143,236284,234846,235958,1141,291,43,334,900
163,C,adapter-doc,True,409,236284,240783,235875,239601,4499,3421,681,4102,900
171,D,adapter-research,False,434,240783,241895,240349,241434,1112,227,41,268,900
96,A,adapter-chat,False,236,241895,242994,241659,242719,1099,166,55,221,900
120,B,adapter-code,True,305,242994,247229,242689,245657,4235,2411,1230,3641,900
169,C,adapter-doc,False,428,247229,248402,246801,247871,1173,191,125,316,900
177,D,adapter-research,False,454,248402,249561,247948,248988,1159,119,143,262,900
99,A,adapter-chat,False,244,249561,250717,249317,250391,1156,199,103,302,900
123,B,adapter-code,False,313,250717,251849,250404,251432,1132,90,127,217,900
173,C,adapter-doc,True,439,251849,256031,251410,254638,4182,2757,882,3639,900
178,D,adapter-research,False,457,256031,257118,255574,256641,1087,183,34,217,900
101,A,adapter-chat,False,251,257118,258190,256867,257883,1072,61,74,135,900
126,B,adapter-code,False,317,258190,259319,257873,258977,1129,272,39,311,900
174,C,adapter-doc,True,443,259319,263127,258876,261580,3808,2058,1050,3108,900
181,D,adapter-research,True,462,263127,267399,262665,265826,4272,2668,1057,3725,900
102,A,adapter-chat,False,255,267399,268497,267144,268224,1098,214,31,245,900
127,B,adapter-code,False,319,268497,269663,268178,269302,1166,318,58,376,900
175,C,adapter-doc,True,446,269663,272866,269217,271866,3203,1985,438,2423,900
184,D,adapter-research,False,467,272866,274035,272399,273522,1169,316,62,378,900
103,A,adapter-chat,False,259,274035,275209,273776,274860,1174,225,111,336,900
128,B,adapter-code,True,322,275209,279478,274887,277906,4269,2479,1211,3690,900
180,C,adapter-doc,True,461,279478,283530,279017,282374,4052,2930,594,3524,900
187,D,adapter-research,False,472,283530,284690,283058,284142,1160,225,95,320,900
106,A,adapter-chat,False,268,284690,285838,284422,285525,1148,270,61,331,900
133,B,adapter-code,False,339,285838,287028,285499,286599,1190,263,111,374,900
185,C,adapter-doc,False,470,287028,288170,286558,287616,1142,161,105,266,900
194,D,adapter-research,False,495,288170,289337,287675,288779,1167,272,81,353,900
108,A,adapter-chat,False,274,289337,290465,289063,290143,1128,214,65,279,900
147,B,adapter-code,False,373,290465,291606,290092,291150,1141,162,103,265,900
195,C,adapter-doc,False,499,291606,292727,291107,292194,1121,231,49,280,900
203,D,adapter-research,True,515,292727,295934,292212,294816,3207,1925,493,2418,900
113,A,adapter-chat,False,287,295934,297069,295647,296679,1135,101,125,226,900
148,B,adapter-code,True,377,297069,302202,296692,300655,5133,3737,1122,4859,900
196,C,adapter-doc,True,502,302202,306214,301700,304506,4012,2195,1162,3357,900
213,D,adapter-research,False,538,306214,307361,305676,306772,1147,253,67,320,900
116,A,adapter-chat,False,296,307361,308459,307065,308083,1098,67,100,167,900
149,B,adapter-code,False,378,308459,309572,308081,309120,1113,117,93,210,900
198,C,adapter-doc,False,506,309572,310639,309066,310084,1067,66,66,132,900
214,D,adapter-research,False,541,310639,311857,310098,311204,1218,275,136,411,900
121,A,adapter-chat,False,307,311857,313040,311550,312646,1183,253,107,360,900
152,B,adapter-code,False,385,313040,314224,312655,313747,1184,243,113,356,900
206,C,adapter-doc,False,522,314224,315390,313702,314804,1166,266,83,349,900
223,D,adapter-research,False,562,315390,316474,314828,315844,1084,61,87,148,900
125,A,adapter-chat,False,315,316474,317632,316159,317267,1158,280,67,347,900
154,B,adapter-code,False,387,317632,318744,317245,318314,1112,187,59,246,900
208,C,adapter-doc,True,527,318744,323539,318217,321940,4795,3418,1013,4431,900
226,D,adapter-research,False,568,323539,324638,322971,324012,1099,121,76,197,900
141,A,adapter-chat,False,354,324638,325751,324284,325324,1113,118,93,211,900
160,B,adapter-code,True,402,325751,330383,325349,328920,4632,3215,1001,4216,900
215,C,adapter-doc,False,545,330383,331528,329838,330957,1145,308,40,348,900
227,D,adapter-research,False,569,331528,332702,330959,332038,1174,213,116,329,900
146,A,adapter-chat,False,369,332702,333886,332333,333457,1184,318,78,396,900
165,B,adapter-code,False,414,333886,335011,333472,334554,1125,220,58,278,900
216,C,adapter-doc,False,546,335011,336110,334465,335488,1099,79,95,174,900
234,D,adapter-research,False,589,336110,337294,335521,336591,1184,191,138,329,900
155,A,adapter-chat,False,389,337294,338390,336905,337933,1096,91,86,177,900
166,B,adapter-code,False,418,338390,339457,337972,338987,1067,60,69,129,900
220,C,adapter-doc,True,555,339457,344427,338902,342770,4970,3611,1046,4657,900
238,D,adapter-research,False,604,344427,345537,343823,344881,1110,162,69,231,900
156,A,adapter-chat,True,392,345537,349009,345145,347827,3472,2029,700,2729,900
183,B,adapter-code,False,465,349009,350154,348544,349582,1145,115,130,245,900
225,C,adapter-doc,True,565,350154,353750,349589,352628,3596,2506,440,2946,900
240,D,adapter-research,False,609,353750,354908,353141,354191,1158,142,132,274,900
157,A,adapter-chat,False,394,354908,355989,354514,355559,1081,132,51,183,900
188,B,adapter-code,False,475,355989,357106,355514,356530,1117,62,123,185,900
228,C,adapter-doc,True,573,357106,360940,356533,359333,3834,2187,971,3158,900
245,D,adapter-research,False,620,360940,362006,360320,361333,1066,54,70,124,900
162,A,adapter-chat,False,408,362006,363124,361598,362656,1118,161,78,239,900
192,B,adapter-code,False,487,363124,364325,362637,363752,1201,298,107,405,900
244,C,adapter-doc,False,619,364325,365491,363706,364798,1166,242,94,336,900
250,D,adapter-research,True,634,365491,370606,364857,368902,5115,3847,1011,4858,900
164,A,adapter-chat,False,412,370606,371832,370194,371307,1226,294,136,430,900
193,B,adapter-code,False,491,371832,372952,371341,372394,1120,150,85,235,900
246,C,adapter-doc,True,624,372952,377627,372328,375719,4675,2975,1249,4224,900
257,D,adapter-research,False,649,377627,378687,376978,378014,1060,109,38,147,900
167,A,adapter-chat,False,422,378687,379811,378265,379335,1124,191,71,262,900
199,B,adapter-code,False,507,379811,380963,379304,380414,1152,286,58,344,900
253,C,adapter-doc,True,637,380963,386110,380326,384452,5147,3954,957,4911,900
259,D,adapter-research,False,655,386110,387207,385455,386503,1097,137,66,203,900
168,A,adapter-chat,False,425,387207,388370,386782,387867,1163,227,97,324,900
200,B,adapter-code,True,509,388370,392784,387861,391227,4414,2941,987,3928,900
267,C,adapter-doc,False,682,392784,393936,392102,393139,1152,113,138,251,900
261,D,adapter-research,False,660,393936,395157,393276,394377,1221,265,144,409,900
172,A,adapter-chat,False,438,395157,396304,394719,395782,1147,174,104,278,900
202,B,adapter-code,False,513,396304,397403,395791,396873,1099,219,30,249,900
275,C,adapter-doc,False,708,397403,398576,396695,397818,1173,317,67,384,900
263,D,adapter-research,True,666,398576,402662,397910,400974,4086,2539,958,3497,900
176,A,adapter-chat,True,450,402662,407467,402212,406373,4805,4001,538,4539,900
211,B,adapter-code,False,536,407467,408575,406931,408014,1108,221,39,260,900
278,C,adapter-doc,False,713,408575,409697,407862,408897,1122,106,108,214,900
266,D,adapter-research,False,678,409697,410813,409019,410042,1116,78,115,193,900
179,A,adapter-chat,False,460,410813,411925,410353,411438,1112,225,42,267,900
217,B,adapter-code,False,548,411925,413063,411377,412459,1138,218,74,292,900
282,C,adapter-doc,True,722,413063,416951,412341,415232,3888,2308,930,3238,900
272,D,adapter-research,False,697,416951,418030,416254,417286,1079,100,63,163,900
182,A,adapter-chat,False,464,418030,419105,417566,418617,1075,145,38,183,900
219,B,adapter-code,False,552,419105,420303,418553,419656,1198,269,117,386,900
284,C,adapter-doc,False,728,420303,421400,419575,420641,1097,180,46,226,900
288,D,adapter-research,False,736,421400,422487,420664,421677,1087,55,93,148,900
186,A,adapter-chat,False,471,422487,423661,422016,423113,1174,255,97,352,900
229,B,adapter-code,False,574,423661,424755,423087,424126,1094,116,72,188,900
289,C,adapter-doc,False,740,424755,425900,424015,425109,1145,247,68,315,900
294,D,adapter-research,False,749,425900,427042,425151,426248,1142,254,61,315,900
189,A,adapter-chat,True,479,427042,432323,426563,430544,5281,3761,1267,5028,900
230,B,adapter-code,False,578,432323,433488,431745,432818,1165,198,113,311,900
295,C,adapter-doc,True,753,433488,438529,432735,436826,5041,3908,878,4786,900
296,D,adapter-research,True,757,438529,443232,437772,441490,4703,3410,917,4327,900
190,A,adapter-chat,False,480,443232,444359,442752,443854,1127,267,39,306,900
231,B,adapter-code,True,581,444359,449452,443778,448005,5093,4089,785,4874,900
299,C,adapter-doc,False,765,449452,450559,448687,449772,1107,227,35,262,900
298,D,adapter-research,False,761,450559,451682,449798,450806,1123,44,138,182,900
191,A,adapter-chat,False,483,451682,452905,451199,452323,1223,320,121,441,900
239,B,adapter-code,False,607,452905,454076,452298,453399,1171,265,89,354,900
301,C,adapter-doc,False,770,454076,455139,453306,454338,1063,100,46,146,900
304,D,adapter-research,False,776,455139,456264,454363,455402,1125,116,107,223,900
197,A,adapter-chat,False,503,456264,457435,455761,456838,1171,208,115,323,900
243,B,adapter-code,False,616,457435,458583,456819,457845,1148,86,146,232,900
308,C,adapter-doc,False,782,458583,459738,457801,458857,1155,156,122,278,900
306,D,adapter-research,False,780,459738,460880,458958,460029,1142,193,90,283,900
201,A,adapter-chat,False,511,460880,461964,460369,461433,1084,176,33,209,900
247,B,adapter-code,False,625,461964,463140,461339,462447,1176,280,87,367,900
314,C,adapter-doc,False,802,463140,464291,462338,463402,1151,175,108,283,900
310,D,adapter-research,True,787,464291,467785,463504,466072,3494,1877,851,2728,900
204,A,adapter-chat,False,518,467785,468958,467267,468341,1173,199,122,321,900
251,B,adapter-code,False,635,468958,470093,468323,469392,1135,189,84,273,900
321,C,adapter-doc,False,818,470093,471158,469275,470311,1065,110,43,153,900
313,D,adapter-research,False,798,471158,472269,470360,471434,1111,200,52,252,900
205,A,adapter-chat,False,519,472269,473344,471750,472790,1075,119,50,169,900
252,B,adapter-code,False,636,473344,474484,472708,473755,1140,135,115,250,900
325,C,adapter-doc,False,825,474484,475601,473659,474685,1117,85,113,198,900
317,D,adapter-research,False,810,475601,476716,474791,475857,1115,180,66,246,900
207,A,adapter-chat,False,526,476716,477796,476190,477220,1080,96,66,162,900
271,B,adapter-code,False,694,477796,478910,477102,478114,1114,53,124,177,900
331,C,adapter-doc,False,842,478910,480071,478068,479130,1161,171,121,292,900
318,D,adapter-research,False,813,480071,481273,479258,480350,1202,242,134,376,900
209,A,adapter-chat,False,530,481273,482413,480743,481779,1140,110,127,237,900
273,B,adapter-code,False,701,482413,483577,481712,482780,1164,186,118,304,900
333,C,adapter-doc,True,848,483577,487070,482729,485532,3493,2190,589,2779,900
324,D,adapter-research,False,823,487070,488271,486247,487356,1201,284,113,397,900
210,A,adapter-chat,False,532,488271,489407,487739,488838,1136,260,52,312,900
276,B,adapter-code,False,709,489407,490565,488698,489814,1158,300,58,358,900
335,C,adapter-doc,False,855,490565,491621,489710,490719,1056,45,63,108,900
330,D,adapter-research,False,840,491621,492771,490781,491816,1150,108,138,246,900
212,A,adapter-chat,False,537,492771,493999,492234,493340,1228,275,147,422,900
277,B,adapter-code,False,712,493999,495131,493287,494400,1132,292,33,325,900
338,C,adapter-doc,True,860,495131,499011,494271,497191,3880,2347,889,3236,900
343,D,adapter-research,True,869,499011,504019,498142,502220,5008,3890,856,4746,900
218,A,adapter-chat,False,549,504019,505163,503470,504510,1144,118,127,245,900
281,B,adapter-code,False,720,505163,506314,504443,505489,1151,133,128,261,900
339,C,adapter-doc,False,862,506314,507525,505452,506560,1211,281,126,407,900
344,D,adapter-research,False,873,507525,508625,506652,507671,1100,69,101,170,900
221,A,adapter-chat,False,559,508625,509699,508066,509088,1074,77,69,146,900
286,B,adapter-code,False,731,509699,510891,508968,510047,1192,212,137,349,900
345,C,adapter-doc,False,875,510891,512001,510016,511023,1110,41,125,166,900
350,D,adapter-research,False,888,512001,513136,511113,512147,1135,105,123,228,900
222,A,adapter-chat,False,560,513136,514229,512576,513644,1093,186,39,225,900
292,B,adapter-code,False,746,514229,515427,513483,514600,1198,303,101,404,900
